"feature_id","original_feature_name","new_feature_name"
1,"tBodyAcc-mean()-X","tBodyAcc_mean_X"
2,"tBodyAcc-mean()-Y","tBodyAcc_mean_Y"
3,"tBodyAcc-mean()-Z","tBodyAcc_mean_Z"
4,"tBodyAcc-std()-X","tBodyAcc_std_X"
5,"tBodyAcc-std()-Y","tBodyAcc_std_Y"
6,"tBodyAcc-std()-Z","tBodyAcc_std_Z"
7,"tBodyAcc-mad()-X","tBodyAcc_mad_X"
8,"tBodyAcc-mad()-Y","tBodyAcc_mad_Y"
9,"tBodyAcc-mad()-Z","tBodyAcc_mad_Z"
10,"tBodyAcc-max()-X","tBodyAcc_max_X"
11,"tBodyAcc-max()-Y","tBodyAcc_max_Y"
12,"tBodyAcc-max()-Z","tBodyAcc_max_Z"
13,"tBodyAcc-min()-X","tBodyAcc_min_X"
14,"tBodyAcc-min()-Y","tBodyAcc_min_Y"
15,"tBodyAcc-min()-Z","tBodyAcc_min_Z"
16,"tBodyAcc-sma()","tBodyAcc_sma"
17,"tBodyAcc-energy()-X","tBodyAcc_energy_X"
18,"tBodyAcc-energy()-Y","tBodyAcc_energy_Y"
19,"tBodyAcc-energy()-Z","tBodyAcc_energy_Z"
20,"tBodyAcc-iqr()-X","tBodyAcc_iqr_X"
21,"tBodyAcc-iqr()-Y","tBodyAcc_iqr_Y"
22,"tBodyAcc-iqr()-Z","tBodyAcc_iqr_Z"
23,"tBodyAcc-entropy()-X","tBodyAcc_entropy_X"
24,"tBodyAcc-entropy()-Y","tBodyAcc_entropy_Y"
25,"tBodyAcc-entropy()-Z","tBodyAcc_entropy_Z"
26,"tBodyAcc-arCoeff()-X,1","tBodyAcc_arCoeff_X_1"
27,"tBodyAcc-arCoeff()-X,2","tBodyAcc_arCoeff_X_2"
28,"tBodyAcc-arCoeff()-X,3","tBodyAcc_arCoeff_X_3"
29,"tBodyAcc-arCoeff()-X,4","tBodyAcc_arCoeff_X_4"
30,"tBodyAcc-arCoeff()-Y,1","tBodyAcc_arCoeff_Y_1"
31,"tBodyAcc-arCoeff()-Y,2","tBodyAcc_arCoeff_Y_2"
32,"tBodyAcc-arCoeff()-Y,3","tBodyAcc_arCoeff_Y_3"
33,"tBodyAcc-arCoeff()-Y,4","tBodyAcc_arCoeff_Y_4"
34,"tBodyAcc-arCoeff()-Z,1","tBodyAcc_arCoeff_Z_1"
35,"tBodyAcc-arCoeff()-Z,2","tBodyAcc_arCoeff_Z_2"
36,"tBodyAcc-arCoeff()-Z,3","tBodyAcc_arCoeff_Z_3"
37,"tBodyAcc-arCoeff()-Z,4","tBodyAcc_arCoeff_Z_4"
38,"tBodyAcc-correlation()-X,Y","tBodyAcc_correlation_X_Y"
39,"tBodyAcc-correlation()-X,Z","tBodyAcc_correlation_X_Z"
40,"tBodyAcc-correlation()-Y,Z","tBodyAcc_correlation_Y_Z"
41,"tGravityAcc-mean()-X","tGravityAcc_mean_X"
42,"tGravityAcc-mean()-Y","tGravityAcc_mean_Y"
43,"tGravityAcc-mean()-Z","tGravityAcc_mean_Z"
44,"tGravityAcc-std()-X","tGravityAcc_std_X"
45,"tGravityAcc-std()-Y","tGravityAcc_std_Y"
46,"tGravityAcc-std()-Z","tGravityAcc_std_Z"
47,"tGravityAcc-mad()-X","tGravityAcc_mad_X"
48,"tGravityAcc-mad()-Y","tGravityAcc_mad_Y"
49,"tGravityAcc-mad()-Z","tGravityAcc_mad_Z"
50,"tGravityAcc-max()-X","tGravityAcc_max_X"
51,"tGravityAcc-max()-Y","tGravityAcc_max_Y"
52,"tGravityAcc-max()-Z","tGravityAcc_max_Z"
